"0","icecream@tastes.good","Joey Shmoey","pbkdf2:sha256:600000$iWirzpRn6TZ06fFJ$e144c75055ed8adcd48e9fdb46388bde9c279a3b5ffb642b6ceaec5446c4b51e","1234 NoWhere Ln","0.00","1"
"1","tamaramorrison@hotmail.com","Gary Cross","pbkdf2:sha256:600000$sSuOMIz5nWQPw7LJ$04aaa238690bfef59283fad678b807c99e1bcfb18a5a78bd66e03bf93f02f0ee","10 NoWhere Ln","67.27699672787095","0"
"2","woodtina@gmail.com","Denise Thornton","pbkdf2:sha256:600000$zrniqkjobJwlk4cD$c99ba6f9ce993cf806feb78b17d6fdadef35383c95e8e65ffc9a8dc6d738a3c9","26 NoWhere Ln","88.53631411241145","0"
"3","rogersbrandon@yahoo.com","Christina Saunders","pbkdf2:sha256:600000$yQVuUxiwG7WjByDU$26e3dfa5e87824d0154142a38e81e960db24d394268d75a6d3ad6988caaf0b56","33 NoWhere Ln","26.377334739194136","1"
"4","davidbanks@yahoo.com","Kathleen Collins","pbkdf2:sha256:600000$9gWbdXTomWmlVaio$205c7b18629c744f4934fe57ac54c126b8002869229c828a8f367c9ff75f8bf1","37 NoWhere Ln","29.97776484822139","1"
"5","samanthasims@yahoo.com","Timothy Parker","pbkdf2:sha256:600000$2XeZI9Viv3SUn7Tq$42e50398b2ac94d3dbab13b2b7d0100ea02b5d474f230233cf7fe3e1a2045dfe","33 NoWhere Ln","33.52216165052799","0"
"6","amyvelazquez@gmail.com","Dr. Loretta Garcia DDS","pbkdf2:sha256:600000$T49pSxes5GhGS1Zx$00a2d5cdae1271ec53e770b78c21443f2db4470c6fbf2971cfca38b5f0db85bf","32 NoWhere Ln","80.93129072059885","1"
"7","dpatrick@gmail.com","John Gibbs","pbkdf2:sha256:600000$4iwZkcwhQC6LgBaT$3bab658ba5d9791a6bb3a83f64774d390ab32b46bcffcb85661bb343078e3511","40 NoWhere Ln","56.36224101764948","1"
"8","huberrachel@gmail.com","Julie Chen","pbkdf2:sha256:600000$SL9sIbHjsLXQBKFc$c2a5b81e05d13b6dd181a075c35549bb2e724651e37f831b1a5c53fa4efaa684","36 NoWhere Ln","97.81612165609911","1"
"9","karicarter@yahoo.com","Ashley Cooper","pbkdf2:sha256:600000$l0sztGa3INF99Y9b$235c476afed311c94f018de4ca6cf29b89e8cd66a071a987c85ab3f1c0246352","34 NoWhere Ln","36.770833590649474","1"
"10","bramirez@gmail.com","Christina Smith","pbkdf2:sha256:600000$3Pb37bGMaD5F8qK5$995a1566325aff7effdaeff590a3dc8748723dedf442dee4f5486a6790956b45","19 NoWhere Ln","56.4787330017183","1"
"11","mcdanielchristopher@hotmail.com","Leslie Taylor","pbkdf2:sha256:600000$FfdC2coR9cquo6zB$fbecfae1ac60a8069fab97a8fb1fca86f7ad4aa6ead0ab674afd597e3174a497","25 NoWhere Ln","16.112442443024143","1"
"12","fcarpenter@yahoo.com","Amanda Schultz","pbkdf2:sha256:600000$0HQcyapvsLyhapKb$4f2c8a5b69fd4680e5791eb5c574776122a72509a573dad2a40d9ced4ceb6227","19 NoWhere Ln","19.254776366507564","0"
"13","nhenson@yahoo.com","Kristen Smith","pbkdf2:sha256:600000$54NQoUGpujiN94RM$f61b7b4ee9d45b035c7fb173999757f1a3a2519563397fb4f71967132570e3de","6 NoWhere Ln","4.6336602592434435","1"
